TotalSqFt,Bedrooms,Bathrooms,OverallQuality,YearBuilt,RoadWidth,RoadType_RCC,Price
3078,8,3.0,7,2005,13,0,243900.0
2650,6,2.0,5,2018,13,0,190100.0
3217,8,2.5,5,2005,13,0,211300.0
1982,5,1.5,6,2001,13,0,151000.0
1585,5,1.5,6,2006,13,0,124100.0
1642,3,1.5,9,2026,13,0,128500.0
2634,6,2.0,7,2016,20,1,232900.0
3808,8,3.0,7,2014,13,0,256400.0
2457,6,1.5,5,2002,20,1,177600.0
2676,7,2.0,4,1997,13,0,170900.0
1603,4,1.5,5,1994,12,0,132100.0
3780,8,2.5,5,2001,13,0,298600.0
2844,6,2.0,4,1992,13,0,162800.0
3274,8,3.0,5,2024,13,0,227600.0
3304,8,2.0,6,2022,20,1,242700.0
2739,7,2.5,6,2011,13,0,187200.0
2837,8,3.0,6,1998,13,0,208600.0
2669,5,2.5,6,2007,13,0,180800.0
3083,7,2.5,5,2018,13,0,219800.0
3619,8,3.0,5,2016,20,1,285300.0
3247,8,2.0,4,2025,13,0,255800.0
3395,7,1.5,8,2006,13,0,249800.0
2031,5,2.0,5,2023,13,0,153100.0
2202,6,2.0,5,1992,13,0,123000.0
2398,6,2.5,4,1994,14,0,162900.0
2591,6,1.5,10,2003,13,0,220200.0
2906,6,2.5,4,1992,13,0,198200.0
1783,4,2.0,5,2012,12,0,118000.0
3804,8,3.0,6,2019,13,0,262900.0
2663,7,2.5,6,2012,20,1,204100.0
1949,5,2.0,7,2016,12,0,180700.0
2098,5,1.5,8,1999,20,1,189900.0
1757,3,1.5,6,2014,20,1,149500.0
2833,6,2.0,4,2002,13,0,194200.0
2690,8,3.0,5,2005,13,0,178100.0
1985,4,1.5,6,2023,13,0,150700.0
2079,5,1.5,8,2026,13,0,153400.0
2143,6,2.5,3,2011,13,0,156400.0
4215,8,2.5,7,2006,13,0,292600.0
2698,7,3.0,6,2012,13,0,176900.0
1359,4,1.5,7,2025,20,1,120700.0
1980,5,1.5,5,1998,12,0,142700.0
2523,8,3.0,4,1991,12,0,164800.0
1529,2,1.5,6,2021,13,0,128100.0
2703,7,2.5,6,2011,14,0,188900.0
2622,6,2.0,7,2002,13,0,215600.0
2782,7,2.0,5,1997,22,1,200100.0
3666,8,3.0,4,1990,20,1,287200.0
2716,6,3.0,3,2006,20,1,196100.0
2413,6,2.5,7,2001,13,0,181300.0
2178,4,1.5,6,1993,13,0,150200.0
3597,8,3.0,4,2002,12,0,237100.0
2300,6,2.0,4,2020,13,0,173900.0
2743,7,2.5,5,1996,13,0,169200.0
2593,7,2.0,3,2012,13,0,164600.0
3452,8,3.0,4,2013,13,0,206900.0
3082,7,3.0,4,1994,13,0,199500.0
2409,5,1.5,5,1994,13,0,162400.0
2484,5,2.5,4,2006,20,1,175600.0
2494,7,2.5,3,2019,13,0,176800.0
2461,7,2.0,8,1998,20,1,201800.0
1748,4,2.0,7,1995,20,1,166000.0
2605,6,2.0,4,2014,13,0,151600.0
2806,6,2.5,6,2008,14,0,177500.0
3784,8,2.5,6,2005,13,0,259300.0
1701,5,1.5,7,2010,18,1,120400.0
3360,8,3.0,4,1991,13,0,251900.0
2888,6,2.0,7,1999,20,1,256300.0
1611,4,1.5,4,2005,13,0,102000.0
2646,6,1.5,3,2026,20,1,195800.0
2014,5,2.0,6,2004,20,1,159300.0
1499,3,1.5,7,2002,13,0,110100.0
2391,5,1.5,9,2002,13,0,160200.0
1765,5,1.5,4,2021,14,0,126600.0
3765,8,2.5,6,1997,14,0,261400.0
2564,5,1.5,5,2007,13,0,210900.0
3532,8,3.0,6,2025,20,1,302600.0
2689,7,2.0,3,2015,13,0,208700.0
1808,4,1.5,3,1999,20,1,119200.0
2830,7,2.5,4,2020,20,1,199400.0
3689,8,3.0,5,2022,13,0,215300.0
1601,3,2.0,4,2018,22,1,156700.0
3346,8,2.0,6,1994,13,0,198600.0
2591,5,2.0,7,2002,20,1,189200.0
2565,7,3.0,6,1990,13,0,189100.0
2541,5,1.5,8,2012,13,0,211400.0
2611,7,2.5,6,1992,13,0,195800.0
2214,5,1.5,3,1992,12,0,142100.0
3275,8,3.0,7,1996,13,0,235800.0
2109,5,2.5,4,2025,13,0,149000.0
3177,7,2.5,7,2024,13,0,221900.0
2773,8,3.0,8,2004,20,1,231000.0
2163,3,1.5,6,1992,14,0,163200.0
2836,8,2.0,3,2018,13,0,188000.0
1575,4,1.5,4,2019,13,0,116800.0
2917,6,2.5,7,2007,20,1,230400.0
2701,6,1.5,5,2000,20,1,190800.0
2543,7,2.0,5,1990,13,0,177200.0
2577,5,2.0,6,2018,13,0,225900.0
1786,3,1.5,6,1999,14,0,137600.0
1645,5,1.5,6,2017,13,0,149100.0
1515,4,1.5,5,2020,20,1,153100.0
2611,6,1.5,5,2008,14,0,194900.0
2124,5,1.5,7,1992,20,1,155000.0
3075,7,2.5,6,2025,13,0,236800.0
1345,4,1.5,5,2004,20,1,106100.0
3801,8,2.0,7,2022,13,0,294400.0
2959,7,2.0,5,2015,20,1,235100.0
2329,6,2.5,4,2005,20,1,168700.0
2001,6,2.0,4,2025,20,1,187100.0
2601,6,2.0,4,2022,12,0,165200.0
2191,4,1.5,5,2009,13,0,169700.0
2589,6,1.5,7,2002,13,0,182500.0
3020,8,3.0,4,2022,13,0,201300.0
2194,5,2.0,6,1994,13,0,177000.0
2480,6,2.0,4,2026,13,0,185900.0
2511,6,2.5,5,2003,13,0,185100.0
2923,7,2.0,3,2016,13,0,192400.0
1916,4,2.0,5,2012,13,0,109500.0
1432,4,1.5,5,2003,13,0,114400.0
3207,8,2.5,6,1993,13,0,238600.0
3043,7,2.5,6,2008,13,0,239000.0
2491,5,1.5,4,1993,13,0,140700.0
3186,7,3.0,7,2019,13,0,232100.0
2273,6,1.5,6,2008,20,1,205600.0
2126,6,2.0,6,2020,18,1,199100.0
1782,5,2.0,5,2020,20,1,164100.0
2970,7,2.0,5,1998,20,1,219000.0
2494,6,2.5,6,2002,12,0,155900.0
2457,5,2.5,6,2003,14,0,150300.0
1721,5,1.5,3,1999,13,0,90600.0
2511,7,2.5,4,2020,13,0,195900.0
2843,6,1.5,5,2026,13,0,205400.0
2903,8,3.0,6,2012,12,0,202700.0
3417,8,3.0,7,2016,13,0,271900.0
3401,8,3.0,4,1995,13,0,221800.0
3053,6,2.0,5,2015,20,1,236400.0
1316,2,1.5,5,1991,13,0,96400.0
1743,4,1.5,4,2002,13,0,121900.0
1739,4,1.5,5,2008,13,0,130200.0
2208,7,2.5,6,1990,14,0,186000.0
3189,8,3.0,4,2021,13,0,219300.0
2424,6,2.0,6,2011,20,1,190900.0
2526,5,2.5,3,2018,13,0,170100.0
1803,5,2.0,4,1991,13,0,109000.0
2789,6,2.0,5,2000,13,0,155100.0
1915,6,2.0,8,2006,13,0,133700.0
1733,4,1.5,5,1997,20,1,177800.0
1817,5,1.5,2,2011,14,0,117800.0
2041,5,1.5,2,1993,13,0,141300.0
2555,6,2.0,5,2000,20,1,217300.0
1977,4,1.5,6,1997,20,1,159900.0
4079,8,3.0,6,1998,13,0,302900.0
2309,6,2.0,6,2015,13,0,192700.0
3053,7,2.0,7,1991,13,0,213000.0
2582,6,2.5,4,2005,13,0,162100.0
3289,8,3.0,7,2020,13,0,267000.0
2352,6,2.0,3,1995,20,1,171300.0
2473,4,1.5,4,2010,13,0,162500.0
3719,8,3.0,3,2015,20,1,294000.0
2797,6,2.5,5,2008,12,0,195300.0
2615,5,2.0,5,2017,13,0,204700.0
2058,4,1.5,5,1997,12,0,138400.0
3099,6,2.0,5,2003,20,1,216800.0
3699,8,3.5,4,2013,22,1,270800.0
1952,4,1.5,5,2026,13,0,168700.0
3472,8,3.5,3,2015,13,0,210100.0
2281,5,1.5,7,2020,13,0,181700.0
2101,5,2.0,5,2021,20,1,184200.0
2362,6,2.0,5,1991,20,1,178300.0
3276,8,3.0,8,2014,13,0,248100.0
3091,7,2.0,3,1991,13,0,201900.0
1789,3,1.5,4,1990,13,0,114700.0
1784,5,1.5,4,2025,13,0,139600.0
2774,8,3.0,5,2001,13,0,193300.0
3072,6,2.5,6,1998,13,0,215700.0
3713,8,3.0,6,2025,20,1,266400.0
2467,6,1.5,9,2017,13,0,199500.0
1739,3,2.0,2,2022,20,1,143400.0
3089,8,3.0,6,2011,13,0,217200.0
3221,7,2.0,4,2014,13,0,207900.0
2560,8,3.0,4,2007,13,0,198000.0
2889,8,3.0,4,1995,13,0,207900.0
2913,7,2.0,4,2007,13,0,188300.0
3419,8,3.0,8,2005,13,0,213000.0
2688,7,2.0,7,2004,13,0,202200.0
1760,4,1.5,5,1997,13,0,98700.0
2345,5,1.5,7,2002,13,0,179000.0
2484,6,1.5,3,1996,13,0,151900.0
3292,8,3.0,3,2006,13,0,196100.0
1823,4,1.5,2,2021,13,0,117900.0
2004,4,1.5,4,2011,20,1,135800.0
4080,8,3.0,6,2002,13,0,268100.0
2127,5,2.0,5,2012,20,1,165600.0
3203,8,2.5,6,2018,13,0,223600.0
2069,6,2.5,3,2011,13,0,156300.0
2731,6,1.5,7,1990,13,0,200900.0
3439,8,2.5,6,2018,20,1,255100.0
2158,6,1.5,6,1994,20,1,169600.0
2424,7,3.0,2,2024,14,0,168000.0
2338,5,2.0,6,1999,13,0,159500.0
2562,6,2.5,4,2008,12,0,151900.0
2572,7,3.0,5,2026,12,0,201700.0
2475,6,1.5,6,1996,13,0,209000.0
2329,5,2.0,5,2024,14,0,155200.0
3170,8,2.5,4,2002,12,0,186100.0
2101,3,1.5,5,1999,22,1,154600.0
3069,8,3.0,3,1991,13,0,179700.0
2514,6,2.0,7,1995,13,0,186700.0
2909,7,2.5,5,1997,13,0,246100.0
3261,8,3.0,7,2025,13,0,218500.0
2738,6,2.0,5,2014,12,0,170700.0
1424,3,1.5,5,1996,13,0,88900.0
2408,7,2.0,4,2012,13,0,180100.0
3354,7,1.5,7,2008,22,1,262600.0
2516,6,2.0,4,2011,20,1,165700.0
2879,7,2.5,6,2002,13,0,230700.0
2446,6,2.0,5,2010,13,0,158100.0
3090,8,2.0,2,1990,13,0,186400.0
3097,6,2.0,4,2008,13,0,212400.0
2671,6,1.5,4,2022,13,0,175600.0
2651,6,2.5,5,1993,13,0,171700.0
3268,8,2.5,4,1992,12,0,230500.0
3744,8,3.5,7,2016,20,1,283000.0
2316,6,2.5,5,2024,13,0,169200.0
2916,6,1.5,5,2017,20,1,214700.0
2520,7,2.0,6,1995,12,0,177700.0
1940,5,2.0,7,1995,13,0,128100.0
1619,5,1.5,5,2012,12,0,119000.0
2622,7,2.5,4,2022,12,0,165000.0
2342,6,2.0,3,2005,13,0,143900.0
2300,6,1.5,4,2013,13,0,165200.0
2441,7,1.5,4,1994,12,0,165300.0
3782,8,3.0,5,2002,12,0,249000.0
2088,5,1.5,5,2001,12,0,136600.0
2990,8,2.5,6,1994,20,1,231200.0
2991,8,3.0,4,2026,13,0,199300.0
2267,6,2.5,5,2020,12,0,184600.0
3140,7,2.5,7,2017,13,0,229900.0
1674,3,1.5,6,2017,13,0,129700.0
3035,7,2.5,5,2019,13,0,194700.0
3093,7,2.0,4,2007,14,0,185800.0
3136,7,2.5,4,2016,13,0,209900.0
2833,7,2.5,4,2024,13,0,183600.0
4023,8,3.0,4,2015,20,1,289800.0
2169,6,1.5,6,2007,13,0,177900.0
2649,6,2.0,5,2022,14,0,188600.0
2453,6,1.5,3,2014,13,0,151400.0
2391,5,2.0,8,2020,13,0,201200.0
2397,5,2.0,6,2026,20,1,206700.0
3802,8,3.5,3,1991,13,0,223600.0
3503,8,2.5,5,2022,13,0,241900.0
1830,3,1.5,5,2021,13,0,161300.0
2248,5,2.0,8,2007,12,0,150400.0
3323,8,3.0,4,2006,13,0,216400.0
1910,2,1.5,7,2023,13,0,164100.0
2554,8,3.0,7,1996,12,0,202800.0
2475,7,2.0,4,2024,12,0,201500.0
1631,4,1.5,5,2019,13,0,129300.0
3707,8,2.0,4,2001,13,0,233600.0
3481,7,2.5,5,2024,13,0,227000.0
2260,7,3.0,5,2000,20,1,179600.0
2187,7,3.0,6,1993,13,0,193800.0
2678,6,2.5,7,2014,13,0,209500.0
3283,8,3.5,4,2021,13,0,225100.0
2736,7,2.0,2,2009,13,0,181900.0
4362,8,2.5,5,2020,13,0,270700.0
2736,6,2.5,6,1993,20,1,202300.0
1679,4,1.5,6,1990,14,0,140700.0
1953,4,1.5,5,1992,14,0,141000.0
2180,5,2.0,5,2026,13,0,172400.0
2686,6,2.0,8,2011,13,0,169100.0
2881,7,3.0,6,2006,13,0,227400.0
1820,4,2.0,5,2003,20,1,142100.0
2998,6,2.5,5,2024,12,0,192700.0
1999,4,1.5,5,2002,13,0,153900.0
3602,8,3.0,8,2024,13,0,255000.0
3468,8,2.5,5,1991,13,0,252400.0
2502,4,1.5,5,2002,20,1,180600.0
2496,7,2.0,5,2005,12,0,173500.0
3322,8,3.0,7,2007,13,0,223200.0
2779,6,1.5,8,1996,13,0,210600.0
2921,5,2.0,6,2025,20,1,260700.0
2369,5,1.5,5,2019,20,1,227900.0
2308,5,2.0,5,1996,14,0,125600.0
2963,6,2.0,2,2004,13,0,190400.0
3810,8,2.0,6,2008,13,0,236000.0
3497,8,3.0,6,2026,13,0,239900.0
2826,7,2.0,6,1991,13,0,204700.0
3425,8,3.0,4,2002,13,0,227700.0
3461,7,2.5,5,2020,13,0,230600.0
2725,6,2.5,5,2005,12,0,200200.0
3764,8,2.5,7,1995,20,1,258700.0
2755,7,2.0,5,2017,12,0,180300.0
2617,6,2.0,8,2021,12,0,226400.0
2671,7,3.0,6,1999,14,0,210200.0
2173,7,3.0,3,2007,13,0,154700.0
3073,8,2.5,5,1993,13,0,208300.0
3012,7,3.0,4,1998,20,1,208100.0
2439,6,1.5,2,1996,14,0,159000.0
3269,8,2.5,8,1997,20,1,246300.0
3221,8,2.5,6,1996,13,0,215900.0
2211,5,1.5,6,1992,13,0,160700.0
1758,4,1.5,6,2006,13,0,136100.0
2711,6,2.5,3,1991,13,0,167000.0
3088,7,2.5,5,2004,13,0,226900.0
4762,8,3.0,7,2018,20,1,342300.0
2187,5,2.0,4,2011,20,1,166200.0
3360,8,3.0,2,1993,20,1,200100.0
2277,6,2.5,5,1995,13,0,146400.0
4176,8,3.0,5,2015,20,1,296100.0
2404,7,2.0,6,2000,13,0,185600.0
3354,7,3.0,6,2015,12,0,230500.0
2317,7,2.0,6,2006,13,0,195400.0
3304,7,2.0,6,2013,13,0,222600.0
2253,6,2.0,7,2017,13,0,190700.0
2532,6,1.5,3,2024,13,0,170900.0
3518,8,2.5,6,2020,13,0,243900.0
1547,4,1.5,6,2002,20,1,148700.0
3283,8,3.0,3,2024,13,0,206800.0
1947,3,1.5,3,2005,13,0,135700.0
3301,8,2.5,4,2004,20,1,247300.0
1661,2,1.5,4,2007,20,1,121200.0
1773,4,1.5,6,2026,13,0,145300.0
2143,6,3.0,4,2016,18,1,185800.0
2726,6,2.5,4,2024,20,1,247500.0
2785,6,2.5,4,2024,20,1,221900.0
2201,5,1.5,7,2017,20,1,195400.0
3570,8,3.0,5,1998,13,0,231000.0
1400,2,1.5,5,2001,13,0,112400.0
1255,2,1.5,5,2004,13,0,88900.0
2882,8,3.0,7,2010,13,0,197100.0
1996,6,2.5,4,2024,13,0,164300.0
2282,5,2.0,7,2022,13,0,192700.0
3222,7,2.0,6,2008,13,0,245000.0
2703,8,3.0,5,2012,13,0,184700.0
2193,6,2.0,9,2002,14,0,152400.0
2110,5,2.0,4,1990,20,1,142100.0
2824,6,2.0,5,2018,13,0,224400.0
2546,6,2.0,3,2013,13,0,185600.0
2166,5,2.0,7,2005,14,0,182000.0
3595,8,2.5,8,2014,13,0,255900.0
1668,5,2.5,8,2012,20,1,168100.0
1790,5,1.5,7,2017,13,0,130300.0
2713,6,2.0,5,2005,13,0,184400.0
3153,8,3.0,5,2000,13,0,192900.0
2586,6,2.5,3,1992,13,0,180900.0
2076,5,1.5,8,2004,13,0,157700.0
3236,8,3.0,6,1990,14,0,238400.0
2067,4,1.5,5,1996,13,0,142100.0
2931,7,2.5,7,1990,20,1,250200.0
2164,5,2.5,4,2021,14,0,179900.0
3508,7,3.0,6,1998,13,0,251400.0
2874,7,3.0,5,2018,13,0,217900.0
3111,8,2.5,6,2015,13,0,220100.0
3326,7,2.5,5,2012,12,0,216000.0
2677,6,2.0,3,2018,13,0,181700.0
3095,8,2.5,5,2022,20,1,244400.0
3175,8,3.0,7,1996,13,0,243900.0
2678,6,2.0,5,2001,20,1,204100.0
3252,7,2.5,6,2020,13,0,241000.0
2429,6,1.5,4,2021,18,1,214100.0
3433,8,3.5,5,2009,13,0,233600.0
2583,5,1.5,4,2006,14,0,146200.0
3291,8,3.0,6,2025,13,0,243200.0
2751,7,3.0,5,1992,22,1,193600.0
1676,4,1.5,6,1990,20,1,136900.0
2684,7,3.0,7,2016,13,0,210400.0
2273,6,1.5,6,2022,13,0,158900.0
2643,6,2.5,6,2009,13,0,209600.0
2345,6,2.0,4,2003,13,0,142700.0
1887,4,1.5,5,2025,13,0,161500.0
1441,4,1.5,5,1994,20,1,114600.0
2477,6,2.5,5,2012,13,0,168700.0
1602,4,1.5,5,2004,13,0,118100.0
2167,4,1.5,4,1995,13,0,129400.0
3239,8,2.5,2,2022,14,0,177800.0
3267,7,2.0,4,2008,13,0,204800.0
2855,6,3.0,6,2002,14,0,200100.0
2020,4,1.5,3,2018,13,0,137500.0
2288,5,2.0,5,1995,18,1,181600.0
2166,7,2.5,8,2004,13,0,150700.0
1859,5,1.5,7,2005,12,0,153500.0
3701,8,3.0,8,2013,13,0,275600.0
2788,6,2.5,6,2012,18,1,241000.0
2072,5,1.5,7,1999,20,1,165700.0
2020,4,2.0,4,2006,12,0,151300.0
3130,7,3.0,4,2019,13,0,210100.0
1685,3,1.5,2,1999,22,1,130700.0
2682,7,2.5,7,2008,12,0,175000.0
1764,4,1.5,8,2018,13,0,169600.0
1895,5,1.5,4,1991,20,1,155800.0
2208,6,2.0,5,2025,22,1,205200.0
2958,8,3.0,4,2008,13,0,250400.0
3007,6,1.5,6,1996,13,0,190700.0
2097,6,2.0,7,2015,14,0,182600.0
2248,6,2.0,3,2004,13,0,165200.0
